中文术语,英文术语,领域
患者,patient,医疗
诊断,diagnosis,医疗
治疗,treatment,医疗
手术,surgery,医疗
药物,medication,医疗
症状,symptom,医疗
临床,clinical,医疗
发热,fever,医疗
头痛,headache,医疗
处方,prescription,医疗
剂量,dosage,医疗
副作用,side effect,医疗
康复,rehabilitation,医疗
病理,pathology,医疗
影像,imaging,医疗
医生,doctor,医疗
护士,nurse,医疗
医院,hospital,医疗
病房,ward,医疗
急救,emergency treatment,医疗
炎症,inflammation,医疗
麻醉,anesthesia,医疗
切除,resection,医疗
移植,transplant,医疗
疫苗,vaccine,医疗
感染,infection,医疗
肿瘤,tumor,医疗
细胞,cell,医疗
血液,blood,医疗
体检,physical examination,医疗
急诊,emergency,医疗
咳嗽,cough,医疗
检验,laboratory test,医疗
免疫,immunity,医疗
抗生素,antibiotic,医疗
病毒,virus,医疗
细菌,bacteria,医疗
慢性病,chronic disease,医疗
急性,acute,医疗
恶性,malignant,医疗
良性,benign,医疗
化疗,chemotherapy,医疗
放疗,radiotherapy,医疗
预后,prognosis,医疗
并发症,complication,医疗
禁忌症,contraindication,医疗
适应症,indication,医疗
疗效,therapeutic effect,医疗
临床试验,clinical trial,医疗
病历,medical record,医疗
医保,medical insurance,医疗
门诊,outpatient,医疗
住院,inpatient,医疗
出院,discharge,医疗
转诊,referral,医疗
会诊,consultation,医疗
活检,biopsy,医疗
超声波,ultrasound,医疗
CT,CT scan,医疗
磁共振,MRI,医疗
心电图,electrocardiogram,医疗
血压,blood pressure,医疗
血糖,blood glucose,医疗
血脂,blood lipid,医疗
心率,heart rate,医疗
呼吸,respiration,医疗
脉搏,pulse,医疗
体温,body temperature,医疗
内科,internal medicine,医疗
外科,surgery department,医疗
儿科,pediatrics,医疗
妇产科,obstetrics and gynecology,医疗
神经科,neurology,医疗
心血管,cardiovascular,医疗
消化科,gastroenterology,医疗
泌尿科,urology,医疗
骨科,orthopedics,医疗
眼科,ophthalmology,医疗
皮肤科,dermatology,医疗
重症监护,intensive care unit,医疗
疫苗接种,vaccination,医疗
流行病,epidemic,医疗
公共卫生,public health,医疗
知情同意,informed consent,医疗
随访,follow-up visit,医疗
复发,recurrence,医疗
缓解,remission,医疗
病变,lesion,医疗
水肿,edema,医疗
出血,hemorrhage,医疗
